"","AREA","POPULATION","YEAR","Incidence","Mortality","Incidence_rate","Mortality_rate","abbr"
"1","Alabama",4430141,"1999",3339,3339,0.000753700615849473,0.000753700615849473,"AL"
"2","Alabama",4452173,"2000",3440,3440,0.000772656408454927,0.000772656408454927,"AL"
"3","Alabama",4467634,"2001",3644,3644,0.000815644253759372,0.000815644253759372,"AL"
"4","Alabama",4480089,"2002",3627,3627,0.000809582131069271,0.000809582131069271,"AL"
"5","Alabama",4503491,"2003",3564,3564,0.000791386060280791,0.000791386060280791,"AL"
"6","Alabama",4530729,"2004",3804,3804,0.000839599984903092,0.000839599984903092,"AL"
"7","Alabama",4565917,"2005",3766,3766,0.00082480693363458,0.00082480693363458,"AL"
"8","Alabama",4628981,"2006",3828,3828,0.000826963860944774,0.000826963860944774,"AL"
"9","Alabama",4672840,"2007",3868,3868,0.000827762131808493,0.000827762131808493,"AL"
"10","Alabama",4718206,"2008",4130,4130,0.000875332700606968,0.000875332700606968,"AL"
"11","Alabama",4757938,"2009",4052,4052,0.000851629424343066,0.000851629424343066,"AL"
"12","Alabama",4785437,"2010",4038,4038,0.000843810084638038,0.000843810084638038,"AL"
"13","Alabama",4799069,"2011",4020,4020,0.000837662471616891,0.000837662471616891,"AL"
"14","Alabama",4815588,"2012",4031,4031,0.000837073271218385,0.000837073271218385,"AL"
"15","Alabama",4830081,"2013",3941,3941,0.000815928345715113,0.000815928345715113,"AL"
"16","Alabama",4841799,"2014",3961,3961,0.00081808435253095,0.00081808435253095,"AL"
"17","Alabama",4852347,"2015",3944,3944,0.000812802546891226,0.000812802546891226,"AL"
"18","Alabama",4863525,"2016",4027,4027,0.00082800026729584,0.00082800026729584,"AL"
"19","Alabama",4874486,"2017",3963,3963,0.000813008797235237,0.000813008797235237,"AL"
"20","Alabama",4887681,"2018",3959,3959,0.00080999557868036,0.00080999557868036,"AL"
"21","Alaska",624779,"1999",275,275,0.000440155639033962,0.000440155639033962,"AK"
"22","Alaska",627963,"2000",260,260,0.000414037132761007,0.000414037132761007,"AK"
"23","Alaska",633714,"2001",282,282,0.000444995692062981,0.000444995692062981,"AK"
"24","Alaska",642337,"2002",289,289,0.000449919590495332,0.000449919590495332,"AK"
"25","Alaska",648414,"2003",299,299,0.000461125145354665,0.000461125145354665,"AK"
"26","Alaska",659286,"2004",328,328,0.000497507910072412,0.000497507910072412,"AK"
"27","Alaska",666946,"2005",337,337,0.000505288284208916,0.000505288284208916,"AK"
"28","Alaska",675302,"2006",351,351,0.00051976745219176,0.00051976745219176,"AK"
"29","Alaska",680300,"2007",330,330,0.00048508011171542,0.00048508011171542,"AK"
"30","Alaska",687455,"2008",348,348,0.00050621495225142,0.00050621495225142,"AK"
"31","Alaska",698895,"2009",368,368,0.000526545475357529,0.000526545475357529,"AK"
"32","Alaska",713910,"2010",363,363,0.000508467453880741,0.000508467453880741,"AK"
"33","Alaska",722128,"2011",355,355,0.000491602596769548,0.000491602596769548,"AK"
"34","Alaska",730443,"2012",347,347,0.000475054179450005,0.000475054179450005,"AK"
"35","Alaska",737068,"2013",328,328,0.000445006430885617,0.000445006430885617,"AK"
"36","Alaska",736283,"2014",361,361,0.000490300604522989,0.000490300604522989,"AK"
"37","Alaska",737498,"2015",380,380,0.000515255634591551,0.000515255634591551,"AK"
"38","Alaska",741456,"2016",376,376,0.000507110334261237,0.000507110334261237,"AK"
"39","Alaska",739700,"2017",370,370,0.000500202784912802,0.000500202784912802,"AK"
"40","Alaska",735139,"2018",344,344,0.000467938716351602,0.000467938716351602,"AK"
"41","Arizona",5023823,"1999",3049,3049,0.000606908324596627,0.000606908324596627,"AZ"
"42","Arizona",5160586,"2000",3184,3184,0.000616984195205738,0.000616984195205738,"AZ"
"43","Arizona",5273477,"2001",3307,3307,0.000627100487970271,0.000627100487970271,"AZ"
"44","Arizona",5396255,"2002",3253,3253,0.000602825478039863,0.000602825478039863,"AZ"
"45","Arizona",5510364,"2003",3441,3441,0.000624459654570914,0.000624459654570914,"AZ"
"46","Arizona",5652404,"2004",3455,3455,0.00061124434842237,0.00061124434842237,"AZ"
"47","Arizona",5839077,"2005",3578,3578,0.000612768079612583,0.000612768079612583,"AZ"
"48","Arizona",6029141,"2006",3535,3535,0.000586319012940649,0.000586319012940649,"AZ"
"49","Arizona",6167681,"2007",3644,3644,0.000590821736727305,0.000590821736727305,"AZ"
"50","Arizona",6280362,"2008",3656,3656,0.000582132049076152,0.000582132049076152,"AZ"
"51","Arizona",6343154,"2009",3895,3895,0.000614047838031364,0.000614047838031364,"AZ"
"52","Arizona",6407172,"2010",3688,3688,0.000575604962688687,0.000575604962688687,"AZ"
"53","Arizona",6472643,"2011",3861,3861,0.000596510575355384,0.000596510575355384,"AZ"
"54","Arizona",6554978,"2012",3841,3841,0.000585966878912485,0.000585966878912485,"AZ"
"55","Arizona",6632764,"2013",4023,4023,0.00060653447039575,0.00060653447039575,"AZ"
"56","Arizona",6730413,"2014",3950,3950,0.000586888204334563,0.000586888204334563,"AZ"
"57","Arizona",6829676,"2015",4070,4070,0.000595928708770372,0.000595928708770372,"AZ"
"58","Arizona",6941072,"2016",3938,3938,0.000567347522111858,0.000567347522111858,"AZ"
"59","Arizona",7044008,"2017",4010,4010,0.000569278172313263,0.000569278172313263,"AZ"
"60","Arizona",7158024,"2018",3896,3896,0.000544284288513143,0.000544284288513143,"AZ"
"61","Arkansas",2651860,"1999",NA,NA,NA,NA,"AR"
"62","Arkansas",2678588,"2000",NA,NA,NA,NA,"AR"
"63","Arkansas",2691571,"2001",2444,2444,0.000908019888756418,0.000908019888756418,"AR"
"64","Arkansas",2705927,"2002",2455,2455,0.000907267638779612,0.000907267638779612,"AR"
"65","Arkansas",2724816,"2003",2472,2472,0.000907217221272923,0.000907217221272923,"AR"
"66","Arkansas",2749686,"2004",2526,2526,0.00091865034771243,0.00091865034771243,"AR"
"67","Arkansas",2781097,"2005",2609,2609,0.000938119022817255,0.000938119022817255,"AR"
"68","Arkansas",2821761,"2006",2498,2498,0.000885262784481039,0.000885262784481039,"AR"
"69","Arkansas",2848650,"2007",2705,2705,0.000949572604567076,0.000949572604567076,"AR"
"70","Arkansas",2874554,"2008",2687,2687,0.000934753704400752,0.000934753704400752,"AR"
"71","Arkansas",2896843,"2009",2576,2576,0.000889243911389053,0.000889243911389053,"AR"
"72","Arkansas",2921964,"2010",2631,2631,0.000900421771110116,0.000900421771110116,"AR"
"73","Arkansas",2940667,"2011",2695,2695,0.000916458748984499,0.000916458748984499,"AR"
"74","Arkansas",2952164,"2012",2728,2728,0.000924067904086629,0.000924067904086629,"AR"
"75","Arkansas",2959400,"2013",2894,2894,0.000977900925863351,0.000977900925863351,"AR"
"76","Arkansas",2967392,"2014",2908,2908,0.000979985118245247,0.000979985118245247,"AR"
"77","Arkansas",2978048,"2015",2944,2944,0.000988567007650649,0.000988567007650649,"AR"
"78","Arkansas",2989918,"2016",2928,2928,0.000979291070858799,0.000979291070858799,"AR"
"79","Arkansas",3001345,"2017",2802,2802,0.00093358144431913,0.00093358144431913,"AR"
"80","Arkansas",3009733,"2018",2999,2999,0.000996433902940892,0.000996433902940892,"AR"
"81","California",33499204,"1999",17482,17482,0.000521863146360134,0.000521863146360134,"CA"
"82","California",33987977,"2000",17523,17523,0.00051556466570517,0.00051556466570517,"CA"
"83","California",34479458,"2001",17588,17588,0.000510100825830847,0.000510100825830847,"CA"
"84","California",34871843,"2002",17473,17473,0.000501063279047224,0.000501063279047224,"CA"
"85","California",35253159,"2003",17399,17399,0.000493544422501257,0.000493544422501257,"CA"
"86","California",35574576,"2004",17439,17439,0.000490209637354497,0.000490209637354497,"CA"
"87","California",35827943,"2005",17562,17562,0.000490176061740413,0.000490176061740413,"CA"
"88","California",36021202,"2006",17605,17605,0.00048873993710704,0.00048873993710704,"CA"
"89","California",36250311,"2007",17461,17461,0.000481678626150269,0.000481678626150269,"CA"
"90","California",36604337,"2008",17333,17333,0.000473523123776289,0.000473523123776289,"CA"
"91","California",36961229,"2009",18057,18057,0.000488538949827669,0.000488538949827669,"CA"
"92","California",37319502,"2010",17331,17331,0.000464395264438416,0.000464395264438416,"CA"
"93","California",37638369,"2011",16737,16737,0.000444679204882656,0.000444679204882656,"CA"
"94","California",37948800,"2012",16949,16949,0.000446628088371701,0.000446628088371701,"CA"
"95","California",38260787,"2013",16888,16888,0.000441391861594483,0.000441391861594483,"CA"
"96","California",38596972,"2014",17155,17155,0.000444464918128811,0.000444464918128811,"CA"
"97","California",38918045,"2015",17332,17332,0.000445346111296187,0.000445346111296187,"CA"
"98","California",39167117,"2016",17120,17120,0.000437101357243118,0.000437101357243118,"CA"
"99","California",39358497,"2017",17034,17034,0.000432790916787295,0.000432790916787295,"CA"
"100","California",39461588,"2018",16409,16409,0.000415822090079092,0.000415822090079092,"CA"
"101","Colorado",4226018,"1999",1765,1765,0.000417650847677412,0.000417650847677412,"CO"
"102","Colorado",4326921,"2000",1886,1886,0.000435875764775923,0.000435875764775923,"CO"
"103","Colorado",4425687,"2001",2020,2020,0.000456426313022136,0.000456426313022136,"CO"
"104","Colorado",4490406,"2002",2064,2064,0.000459646633288838,0.000459646633288838,"CO"
"105","Colorado",4528732,"2003",2041,2041,0.000450678026432123,0.000450678026432123,"CO"
"106","Colorado",4575013,"2004",2001,2001,0.000437375806363829,0.000437375806363829,"CO"
"107","Colorado",4631888,"2005",1994,1994,0.000430494001582076,0.000430494001582076,"CO"
"108","Colorado",4720423,"2006",2032,2032,0.00043046989644784,0.00043046989644784,"CO"
"109","Colorado",4803868,"2007",2203,2203,0.000458588787202313,0.000458588787202313,"CO"
"110","Colorado",4889730,"2008",2284,2284,0.000467101455499588,0.000467101455499588,"CO"
"111","Colorado",4972195,"2009",2250,2250,0.000452516443944777,0.000452516443944777,"CO"
"112","Colorado",5047349,"2010",2201,2201,0.000436070499583048,0.000436070499583048,"CO"
"113","Colorado",5121108,"2011",2220,2220,0.000433499937904063,0.000433499937904063,"CO"
"114","Colorado",5192647,"2012",2334,2334,0.000449481738311886,0.000449481738311886,"CO"
"115","Colorado",5269035,"2013",2282,2282,0.000433096382924008,0.000433096382924008,"CO"
"116","Colorado",5350101,"2014",2354,2354,0.000439991693614756,0.000439991693614756,"CO"
"117","Colorado",5450623,"2015",2356,2356,0.000432244167318121,0.000432244167318121,"CO"
"118","Colorado",5539215,"2016",2376,2376,0.000428941646063567,0.000428941646063567,"CO"
"119","Colorado",5611885,"2017",2427,2427,0.000432475006169941,0.000432475006169941,"CO"
"120","Colorado",5691287,"2018",2371,2371,0.000416601728220699,0.000416601728220699,"CO"
"121","Connecticut",3386401,"1999",2491,2491,0.000735589199270848,0.000735589199270848,"CT"
"122","Connecticut",3411777,"2000",2465,2465,0.000722497396518002,0.000722497396518002,"CT"
"123","Connecticut",3432835,"2001",2547,2547,0.000741952351336432,0.000741952351336432,"CT"
"124","Connecticut",3458749,"2002",2629,2629,0.000760101412389277,0.000760101412389277,"CT"
"125","Connecticut",3484336,"2003",2667,2667,0.000765425607633707,0.000765425607633707,"CT"
"126","Connecticut",3496094,"2004",2580,2580,0.000737966427676144,0.000737966427676144,"CT"
"127","Connecticut",3506956,"2005",2623,2623,0.000747942089949232,0.000747942089949232,"CT"
"128","Connecticut",3517460,"2006",2714,2714,0.00077157949201981,0.00077157949201981,"CT"
"129","Connecticut",3527270,"2007",2693,2693,0.000763479971762865,0.000763479971762865,"CT"
"130","Connecticut",3545579,"2008",2713,2713,0.000765178268485909,0.000765178268485909,"CT"
"131","Connecticut",3561807,"2009",2668,2668,0.000749057992193288,0.000749057992193288,"CT"
"132","Connecticut",3579114,"2010",2656,2656,0.000742083096542887,0.000742083096542887,"CT"
"133","Connecticut",3588283,"2011",2650,2650,0.000738514771549513,0.000738514771549513,"CT"
"134","Connecticut",3594547,"2012",2668,2668,0.000742235391552816,0.000742235391552816,"CT"
"135","Connecticut",3594841,"2013",2758,2758,0.00076721056647568,0.00076721056647568,"CT"
"136","Connecticut",3594524,"2014",2682,2682,0.000746134954169175,0.000746134954169175,"CT"
"137","Connecticut",3587122,"2015",2631,2631,0.000733457072271308,0.000733457072271308,"CT"
"138","Connecticut",3578141,"2016",2768,2768,0.000773586060471066,0.000773586060471066,"CT"
"139","Connecticut",3573297,"2017",2808,2808,0.000785828885760126,0.000785828885760126,"CT"
"140","Connecticut",3571520,"2018",2560,2560,0.00071678165038975,0.00071678165038975,"CT"
"141","Delaware",774990,"1999",654,654,0.000843881856540084,0.000843881856540084,"DE"
"142","Delaware",786373,"2000",629,629,0.000799874868542028,0.000799874868542028,"DE"
"143","Delaware",795699,"2001",623,623,0.000782959385395734,0.000782959385395734,"DE"
"144","Delaware",806169,"2002",622,622,0.000771550382115909,0.000771550382115909,"DE"
"145","Delaware",818003,"2003",738,738,0.000902197180205941,0.000902197180205941,"DE"
"146","Delaware",830803,"2004",732,732,0.000881075297031908,0.000881075297031908,"DE"
"147","Delaware",845150,"2005",783,783,0.00092646275809028,0.00092646275809028,"DE"
"148","Delaware",859268,"2006",815,815,0.000948481730961702,0.000948481730961702,"DE"
"149","Delaware",871749,"2007",745,745,0.00085460379077005,0.00085460379077005,"DE"
"150","Delaware",883874,"2008",774,774,0.0008756904264635,0.0008756904264635,"DE"
"151","Delaware",891730,"2009",747,747,0.000837697509335785,0.000837697509335785,"DE"
"152","Delaware",899593,"2010",741,741,0.000823705831414873,0.000823705831414873,"DE"
"153","Delaware",907381,"2011",820,820,0.000903699768895315,0.000903699768895315,"DE"
"154","Delaware",915179,"2012",772,772,0.000843550824483516,0.000843550824483516,"DE"
"155","Delaware",923576,"2013",826,826,0.000894349788214505,0.000894349788214505,"DE"
"156","Delaware",932487,"2014",817,817,0.000876151624633909,0.000876151624633909,"DE"
"157","Delaware",941252,"2015",890,890,0.000945549119683145,0.000945549119683145,"DE"
"158","Delaware",948921,"2016",871,871,0.00091788462896279,0.00091788462896279,"DE"
"159","Delaware",956823,"2017",781,781,0.000816242920581968,0.000816242920581968,"DE"
"160","Delaware",965479,"2018",802,802,0.000830675757836266,0.000830675757836266,"DE"
"161","District of Columbia",570213,"1999",421,421,0.000738320592480354,0.000738320592480354,"DC"
"162","District of Columbia",572046,"2000",357,357,0.000624075686221038,0.000624075686221038,"DC"
"163","District of Columbia",574504,"2001",406,406,0.000706696559118822,0.000706696559118822,"DC"
"164","District of Columbia",573158,"2002",377,377,0.000657759291504262,0.000657759291504262,"DC"
"165","District of Columbia",568502,"2003",379,379,0.000666664321321649,0.000666664321321649,"DC"
"166","District of Columbia",567754,"2004",346,346,0.000609418868030873,0.000609418868030873,"DC"
"167","District of Columbia",567136,"2005",355,355,0.000625952152570107,0.000625952152570107,"DC"
"168","District of Columbia",570681,"2006",352,352,0.000616806937676215,0.000616806937676215,"DC"
"169","District of Columbia",574404,"2007",337,337,0.000586695078725078,0.000586695078725078,"DC"
"170","District of Columbia",580236,"2008",329,329,0.000567010664626118,0.000567010664626118,"DC"
"171","District of Columbia",592228,"2009",364,364,0.000614628149969269,0.000614628149969269,"DC"
"172","District of Columbia",605226,"2010",356,356,0.000588210024024084,0.000588210024024084,"DC"
"173","District of Columbia",619800,"2011",337,337,0.000543723781865118,0.000543723781865118,"DC"
"174","District of Columbia",634924,"2012",387,387,0.000609521769534621,0.000609521769534621,"DC"
"175","District of Columbia",650581,"2013",340,340,0.000522609790325878,0.000522609790325878,"DC"
"176","District of Columbia",662328,"2014",323,323,0.00048767378096653,0.00048767378096653,"DC"
"177","District of Columbia",675400,"2015",309,309,0.000457506662718389,0.000457506662718389,"DC"
"178","District of Columbia",685815,"2016",269,269,0.000392234057289502,0.000392234057289502,"DC"
"179","District of Columbia",694906,"2017",298,298,0.000428834979119478,0.000428834979119478,"DC"
"180","District of Columbia",701547,"2018",304,304,0.000433328059274717,0.000433328059274717,"DC"
"181","Florida",15759421,"1999",15678,15678,0.000994833503083648,0.000994833503083648,"FL"
"182","Florida",16047515,"2000",16028,16028,0.000998783923866094,0.000998783923866094,"FL"
"183","Florida",16356966,"2001",15847,15847,0.000968822702205287,0.000968822702205287,"FL"
"184","Florida",16689370,"2002",16102,16102,0.000964805741618767,0.000964805741618767,"FL"
"185","Florida",17004085,"2003",16179,16179,0.00095147724796718,0.00095147724796718,"FL"
"186","Florida",17415318,"2004",16597,16597,0.000953011595883578,0.000953011595883578,"FL"
"187","Florida",17842038,"2005",16697,16697,0.000935823586969157,0.000935823586969157,"FL"
"188","Florida",18166990,"2006",16491,16491,0.000907745311688948,0.000907745311688948,"FL"
"189","Florida",18367842,"2007",16420,16420,0.000893953682746182,0.000893953682746182,"FL"
"190","Florida",18527305,"2008",16811,16811,0.000907363483248103,0.000907363483248103,"FL"
"191","Florida",18652644,"2009",16865,16865,0.000904161361788709,0.000904161361788709,"FL"
"192","Florida",18845537,"2010",16804,16804,0.000891670001231591,0.000891670001231591,"FL"
"193","Florida",19053237,"2011",16498,16498,0.000865889612353009,0.000865889612353009,"FL"
"194","Florida",19297822,"2012",17071,17071,0.000884607599759185,0.000884607599759185,"FL"
"195","Florida",19545621,"2013",16801,16801,0.000859578726099314,0.000859578726099314,"FL"
"196","Florida",19845911,"2014",17008,17008,0.00085700273471951,0.00085700273471951,"FL"
"197","Florida",20209042,"2015",17038,17038,0.000843087960329837,0.000843087960329837,"FL"
"198","Florida",20613477,"2016",17517,17517,0.000849783857424926,0.000849783857424926,"FL"
"199","Florida",20963613,"2017",17695,17695,0.000844081599865443,0.000844081599865443,"FL"
"200","Florida",21244317,"2018",17455,17455,0.000821631497967198,0.000821631497967198,"FL"
"201","Georgia",8045965,"1999",4944,4944,0.000614469488743737,0.000614469488743737,"GA"
"202","Georgia",8227303,"2000",5281,5281,0.000641887140901459,0.000641887140901459,"GA"
"203","Georgia",8377038,"2001",5382,5382,0.000642470524784536,0.000642470524784536,"GA"
"204","Georgia",8508256,"2002",5516,5516,0.000648311475348179,0.000648311475348179,"GA"
"205","Georgia",8622793,"2003",5542,5542,0.000642715185207392,0.000642715185207392,"GA"
"206","Georgia",8769252,"2004",5499,5499,0.000627077429180961,0.000627077429180961,"GA"
"207","Georgia",8925922,"2005",5651,5651,0.000633099863521102,0.000633099863521102,"GA"
"208","Georgia",9155813,"2006",5874,5874,0.00064155962993128,0.00064155962993128,"GA"
"209","Georgia",9349988,"2007",6148,6148,0.000657540950854696,0.000657540950854696,"GA"
"210","Georgia",9504843,"2008",6239,6239,0.000656402215165469,0.000656402215165469,"GA"
"211","Georgia",9620846,"2009",6325,6325,0.000657426592214448,0.000657426592214448,"GA"
"212","Georgia",9711881,"2010",6082,6082,0.000626243258128884,0.000626243258128884,"GA"
"213","Georgia",9802431,"2011",6296,6296,0.000642289652434177,0.000642289652434177,"GA"
"214","Georgia",9901430,"2012",6668,6668,0.000673438079146144,0.000673438079146144,"GA"
"215","Georgia",9972479,"2013",6527,6527,0.000654501252898101,0.000654501252898101,"GA"
"216","Georgia",10067278,"2014",6700,6700,0.000665522497739707,0.000665522497739707,"GA"
"217","Georgia",10178447,"2015",6691,6691,0.000657369439561851,0.000657369439561851,"GA"
"218","Georgia",10301890,"2016",6924,6924,0.000672109680844971,0.000672109680844971,"GA"
"219","Georgia",10410330,"2017",7027,7027,0.000675002617592334,0.000675002617592334,"GA"
"220","Georgia",10511131,"2018",6714,6714,0.000638751434074982,0.000638751434074982,"GA"
"221","Hawaii",1210300,"1999",688,688,0.000568454102288689,0.000568454102288689,"HI"
"222","Hawaii",1213519,"2000",653,653,0.000538104471376221,0.000538104471376221,"HI"
"223","Hawaii",1225948,"2001",617,617,0.00050328398920672,0.00050328398920672,"HI"
"224","Hawaii",1239613,"2002",684,684,0.000551785113579803,0.000551785113579803,"HI"
"225","Hawaii",1251154,"2003",708,708,0.000565877581816467,0.000565877581816467,"HI"
"226","Hawaii",1273569,"2004",774,774,0.000607740923342198,0.000607740923342198,"HI"
"227","Hawaii",1292729,"2005",774,774,0.000598733377219819,0.000598733377219819,"HI"
"228","Hawaii",1309731,"2006",757,757,0.000577981280125461,0.000577981280125461,"HI"
"229","Hawaii",1315675,"2007",794,794,0.000603492503847835,0.000603492503847835,"HI"
"230","Hawaii",1332213,"2008",808,808,0.00060650961970796,0.00060650961970796,"HI"
"231","Hawaii",1346717,"2009",769,769,0.000571018261446169,0.000571018261446169,"HI"
"232","Hawaii",1363963,"2010",732,732,0.000536671449298845,0.000536671449298845,"HI"
"233","Hawaii",1379329,"2011",765,765,0.000554617498798329,0.000554617498798329,"HI"
"234","Hawaii",1394804,"2012",781,781,0.000559935302737876,0.000559935302737876,"HI"
"235","Hawaii",1408243,"2013",868,868,0.000616370896216065,0.000616370896216065,"HI"
"236","Hawaii",1414538,"2014",789,789,0.000557779289068233,0.000557779289068233,"HI"
"237","Hawaii",1422052,"2015",828,828,0.000582257188907297,0.000582257188907297,"HI"
"238","Hawaii",1427559,"2016",834,834,0.000584214032484822,0.000584214032484822,"HI"
"239","Hawaii",1424393,"2017",870,870,0.000610786489402854,0.000610786489402854,"HI"
"240","Hawaii",1420593,"2018",809,809,0.000569480491597523,0.000569480491597523,"HI"
"241","Idaho",1275674,"1999",629,629,0.000493072681578522,0.000493072681578522,"ID"
"242","Idaho",1299430,"2000",743,743,0.00057178916909722,0.00057178916909722,"ID"
"243","Idaho",1319962,"2001",632,632,0.000478801662472101,0.000478801662472101,"ID"
"244","Idaho",1340372,"2002",683,683,0.000509560032587968,0.000509560032587968,"ID"
"245","Idaho",1363380,"2003",762,762,0.000558905074153941,0.000558905074153941,"ID"
"246","Idaho",1391802,"2004",775,775,0.000556832078126055,0.000556832078126055,"ID"
"247","Idaho",1428241,"2005",818,818,0.00057273247302101,0.00057273247302101,"ID"
"248","Idaho",1468669,"2006",796,796,0.000541987336833555,0.000541987336833555,"ID"
"249","Idaho",1505105,"2007",823,823,0.000546805704585394,0.000546805704585394,"ID"
"250","Idaho",1534320,"2008",849,849,0.000553339590176756,0.000553339590176756,"ID"
"251","Idaho",1554439,"2009",814,814,0.000523661591094922,0.000523661591094922,"ID"
"252","Idaho",1570746,"2010",838,838,0.000533504462210949,0.000533504462210949,"ID"
"253","Idaho",1583910,"2011",860,860,0.000542960142937414,0.000542960142937414,"ID"
"254","Idaho",1595324,"2012",902,902,0.000565402388480334,0.000565402388480334,"ID"
"255","Idaho",1611206,"2013",854,854,0.000530037748121593,0.000530037748121593,"ID"
